Buenos Aires,Argentina,South America,"La Morocha, Luck Ra, 3552305","QUE ME FALTE TODO, Luck Ra, 3110247","La_Original.mp3, Emilia, 3082734","Una Foto Remix, Mesita, 3462190","Inocente, Roze Oficial, 3016631"
Córdoba,Argentina,South America,"QUE ME FALTE TODO, Luck Ra, 3110247","La Morocha, Luck Ra, 3552305","La_Original.mp3, Emilia, 3082734","Inocente, Roze Oficial, 3016631","Una Foto Remix, Mesita, 3462190"
Rosario,Argentina,South America,"La Morocha, Luck Ra, 3552305","QUE ME FALTE TODO, Luck Ra, 3110247","La_Original.mp3, Emilia, 3082734","Inocente, Roze Oficial, 3016631","Una Foto Remix, Mesita, 3462190"
Brisbane,Australia,Australia,"Lovin On Me, Jack Harlow, 22826001","greedy, Tate McRae, 1554256","Stick Season, Noah Kahan, 1530532","I Remember Everything, Zach Bryan, 1237522","Last Night, Morgan Wallen, 981236"
Melbourne,Australia,Australia,"Lovin On Me, Jack Harlow, 22826001","greedy, Tate McRae, 1554256","Stick Season, Noah Kahan, 1530532","Cruel Summer, Taylor Swift, 1263788","Prada, cassö, 1181104"
Perth,Australia,Australia,"Lovin On Me, Jack Harlow, 22826001","greedy, Tate McRae, 1554256","Stick Season, Noah Kahan, 1530532","Paint The Town Red, Doja cat, 1166556","Prada, cassö, 1181104"
Sydney,Australia,Australia,"Lovin On Me, Jack Harlow, 22826001","greedy, Tate McRae, 1554256","Stick Season, Noah Kahan, 1530532","Cruel Summer, Taylor Swift, 1263788","Paint The Town Red, Doja cat, 1166556"
Vienna,Austria,Europe,"Time, Luciano, 272760","Vois sur ton chemin, Bennett, 179116","greedy, Tate McRae, 178280","Wonderful life, Luciano, 199267","Prada, cassö, 160467"
NAN,Belarus,Europe,"Прощание, Три дня дождя, 71997","Пыяла, Aigel, 65253","Love me again, V, 60495","Дымок, Ицык Цыпер, 59973","Lost angeles, Friendly thug 52 Ngg, 58469"
Brussels,Belgium,Europe,"Prada, cassö, 410776","Paint The Town Red, Doja Cat, 24911","Si No Estás, iñigo quintero, 304439","Strangers, Kenya Grace, 301867","Vois sur ton chemin, Bennett, 270822"
La Paz,Bolivia,South America,"Luna, Feid, 276124","Según Quién, Maluma, 227837","Qlona, Karol G, 207133","Perro Negro, Bad Bunny, 218693","Bellakeo, peso Pluma, 213595"
Santa Cruz,Bolivia,South America,"Luna, Feid, 276124","Según Quién, Maluma, 227837","Perro Negro, Bad Bunny, 218693","Qlona, Karol G, 207133","Alv, Arcángel, 201601"
Belém,Brazil,South America,"Let's Go 4, Dj GBR, 8222343","Daqui pra Sempre, Manu, 5436593","Me Leva Pra Casa, Lauana Prado, 7664636","Maria Mariah, JC NO BEAT, 0","Tem Café, Henry Freitas, 2717501"
Belo Horizonte,Brazil,South America,"Me Leva Pra Casa, Lauana Prado, 7664636","Maria Mariah, JC NO BEAT, 0","Let's Go 4, Dj GBR, 8222343","Barulho Do Foguete, Zé Neto, 5628015","Deja Vu, Luan Santana, 9144585"
Brasília,Brazil,South America,"Me Leva Pra Casa, Lauana Prado, 7664636","Maria Mariah, JC NO BEAT, 0","Let's Go 4, Dj GBR, 8222343","Barulho Do Foguete, Zé Neto, 5628015","Deja Vu, Luan Santana, 9144585"
Campinas,Brazil,South America,"Maria Mariah, JC NO BEAT, 0","Let's Go 4, Dj GBR, 8222343","Me Leva Pra Casa, Lauana Prado, 7664636","Barulho Do Foguete, Zé Neto, 5628015","Deja Vu, Luan Santana, 9144585"
Campo Grande,Brazil,South America,"Me Leva Pra Casa, Lauana Prado, 7664636","Maria Mariah, JC NO BEAT, 0","Deja Vu, Luan Santana, 9144585","Barulho Do Foguete, Zé Neto, 5628015","Fronteira, Ana Castela, 6268204"
Cuiabá,Brazil,South America,"Me Leva Pra Casa, Lauana Prado, 7664636","Maria Mariah, JC NO BEAT, 0","Deja Vu, Luan Santana, 9144585","Barulho Do Foguete, Zé Neto, 5628015","Fronteira, Ana Castela, 6268204"
Curitiba,Brazil,South America,"Maria Mariah, JC NO BEAT, 0","Me Leva Pra Casa, Lauana Prado, 7664636","Let's Go 4, Dj GBR, 8222343","Barulho Do Foguete, Zé Neto, 5628015","Deja Vu, Luan Santana, 9144585"
Florianópolis,Brazil,South America,"Maria Mariah, JC NO BEAT, 0","Me Leva Pra Casa, Lauana Prado, 7664636","Let's Go 4, Dj GBR, 8222343","Barulho Do Foguete, Zé Neto, 5628015","Canudinho, Gusttavo Lima, 5582361"
Fortalexa,Brazil,South America,"Tem Café, Henry Freitas, 2717501","Let's Go 4, Dj GBR, 8222343","Daqui pra Sempre, Manu, 5436593","Tenho Que Me Decidir, MC PH, 6289704","Maria Mariah, JC NO BEAT, 0"
Goiânia,Brazil,South America,"Me Leva Pra Casa, Lauana Prado, 7664636","Deja Vu, Luan Santana, 9144585","Canudinho, Gusttavo Lima, 5582361","Maria Mariah, JC NO BEAT, 0","Barulho Do Foguete, Zé Neto, 5628015"
Manaus,Brazil,South America,"Let's Go 4, Dj GBR, 8222343","Daqui pra Sempre, Manu, 5436593","Maria Mariah, JC NO BEAT, 0","Tenho Que Me Decidir, MC PH, 6289704","10 Carros, Chefin, 4953202"
Porto Alegre,Brazil,South America,"Maria Mariah, JC NO BEAT, 0","Me Leva Pra Casa, Lauana Prado, 7664636","Let's Go 4, Dj GBR, 8222343","Barulho Do Foguete, Zé Neto, 5628015","Canudinho, Gusttavo Lima, 5582361"
Recife,Brazil,South America,"Tem Café, Henry Freitas, 2717501","Let's Go 4, Dj GBR, 8222343","10 Carros, Chefin, 4953202","Tenho Que Me Decidir, MC PH, 6289704","Daqui pra Sempre, Manu, 5436593"
